Tanggal,PPT,,,OTG,OTG,,,PDP,,,Negatif,Positif,Sembuh,Kematian
,Baru,Selesai ,Masih,,Baru,Selesai ,Masih,Baru,Kumulatif,,,,,
2-Jul-22,0,8007,8007,0,0,0,0,0,0,,0,7449,7402,36
4-Jul-22,0,8007,8007,0,0,0,0,0,0,,0,7451,7403,36
5-Jul-22,0,8007,8007,0,0,0,0,0,0,,0,7452,7403,36
8-Jul-22,0,8007,8007,0,0,0,0,0,0,,0,7456,7403,36
9-Jul-22,0,8007,8007,0,0,0,0,0,0,,0,7459,7403,36
12-Jul-22,0,8007,8007,0,0,0,0,0,0,,0,7461,7403,36
14-Jul-22,0,8007,8007,0,0,0,0,0,0,,0,7466,7403,36
15-Jul-22,0,8007,8007,0,0,0,0,0,0,,0,7468,7403,36
17-Jul-22,0,8007,8007,0,0,0,0,0,0,,0,7469,7403,36
18-Jul-22,0,8007,8007,0,0,0,0,0,0,,0,7471,7418,36
19-Jul-22,0,8007,8007,0,0,0,0,0,0,,0,7474,7418,36
21-Jul-22,0,8007,8007,0,0,0,0,0,0,,0,7476,7418,36
22-Jul-22,0,8007,8007,0,0,0,0,0,0,,0,7479,7421,36
23-Jul-22,0,8007,8007,0,0,0,0,0,0,,0,7482,7421,36
24-Jul-22,0,8007,8007,0,0,0,0,0,0,,0,7483,7424,36
26-Jul-22,0,8007,8007,0,0,0,0,0,0,,0,7485,7424,36
27-Jul-22,0,8007,8007,0,0,0,0,0,0,,0,7492,7424,36
28-Jul-22,0,8007,8007,0,0,0,0,0,0,,0,7500,7424,36
29-Jul-22,0,8007,8007,0,0,0,0,0,0,,0,7513,7431,36
30-Jul-22,0,8007,8007,0,0,0,0,0,0,,0,7517,7431,36
31-Jul-22,0,8007,8007,0,0,0,0,0,0,,0,7518,7431,37
1-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7520,7433,37
2-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7528,7441,37
3-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7536,7443,37
4-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7545,7447,37
5-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7553,7458,37
6-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7558,7458,37
7-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7559,7458,37
8-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7562,7462,37
9-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7571,7462,37
10-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7582,7467,37
11-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7597,7467,37
12-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7616,7473,37
13-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7621,7473,37
14-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7630,7473,37
15-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7634,7485,37
16-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7647,7494,37
17-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7656,7494,37
18-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7659,7523,37
19-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7686,7533,37
20-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7702,7533,37
21-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7706,7533,37
22-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7714,7549,37
23-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7731,7556,37
24-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7739,7563,38
25-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7745,7567,38
26-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7754,7567,38
27-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7763,7567,38
28-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7775,7567,38
29-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7784,7614,38
30-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7792,7630,38
31-Aug-22,0,8007,8007,0,0,0,0,0,0,,0,7806,7643,40
1-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7814,7643,41
2-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7824,7664,41
3-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7832,7664,41
4-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7837,7664,41
5-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7845,7672,41
6-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7857,7683,41
7-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7861,7699,42
8-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7869,7711,42
9-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7877,7719,42
10-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7879,7719,42
11-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7885,7719,42
12-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7889,7774,42
13-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7895,7775,43
14-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7900,7782,43
15-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7904,7785,43
16-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7905,7792,44
17-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7912,7792,44
18-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7914,7792,44
19-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7919,7808,44
20-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7925,7820,44
21-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7927,7831,44
22-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7931,7833,44
23-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7933,7852,44
24-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7936,7852,44
25-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7942,7852,44
26-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7943,7852,44
27-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7948,7862,45
28-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7951,7865,45
29-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7956,7876,45
30-Sep-22,0,8007,8007,0,0,0,0,0,0,,0,7962,7878,45
1-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,7966,7878,45
2-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,7967,7878,45
3-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,7971,7883,45
4-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,7982,7889,45
5-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,7985,7891,45
6-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,7987,7893,45
7-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,7988,7900,45
8-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,7994,7900,45
9-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,7997,7900,45
10-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,8001,7911,45
11-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,8004,7911,45
12-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,8010,7911,46
13-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,8017,7919,46
14-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,8024,7925,46
15-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,8031,7925,46
16-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,8032,7925,46
17-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,8034,7936,47
18-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,8035,7948,47
19-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,8036,7948,48
20-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,8040,7948,48
21-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,8042,7956,49
22-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,8047,7956,49
23-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,8048,7956,49
24-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,8051,7956,49
25-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,8057,7965,50
26-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,8060,7970,50
27-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,8062,7975,50
28-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,8068,7975,50
29-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,8072,7975,50
30-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,8076,7975,50
31-Oct-22,0,8007,8007,0,0,0,0,0,0,,0,8078,7975,50
1-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8080,7975,50
2-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8088,7990,51
3-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8096,7990,51
4-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8105,7990,51
5-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8108,7990,51
6-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8114,8005,51
7-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8118,8018,51
8-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8119,8023,51
9-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8123,8027,51
10-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8131,8032,51
11-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8141,8036,51
12-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8146,8036,51
13-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8146,8036,51
14-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8150,8045,52
15-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8159,8052,52
16-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8168,8052,52
17-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8174,8052,52
18-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8180,8062,52
19-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8189,8077,52
20-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8191,8077,52
21-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8193,8085,52
22-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8194,8088,53
23-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8209,8091,53
24-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8220,8102,53
25-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8229,8109,53
26-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8230,8109,53
27-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8238,8114,53
28-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8238,8129,53
29-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8249,8144,53
30-Nov-22,0,8007,8007,0,0,0,0,0,0,,0,8254,8154,53
1-Dec-22,0,8007,8007,0,0,0,0,0,0,,0,8262,8154,53
2-Dec-22,0,8007,8007,0,0,0,0,0,0,,0,8270,8159,53
3-Dec-22,0,8007,8007,0,0,0,0,0,0,,0,8275,8165,53
4-Dec-22,0,8007,8007,0,0,0,0,0,0,,0,8279,8165,53
5-Dec-22,0,8007,8007,0,0,0,0,0,0,,0,8280,8168,53
